43,-24,38,10,-3,-2,-23,36,-20,-22,-57,17,1,-7,20,-23,19,0,3,13,11,-6,2,-46,-14,-3,52,29,-4,-6,-35,-15,-12,16,19,16,10,11,2,-3,8,-8,6,11,-10,-43,36,98,4,18,54,-10,4,40,-24,-78,0,17,-34,5,-1,9,34,6,5
-12,16,19,16,10,11,2,-3,8,-8,6,11,-10,-43,36,98,4,18,54,-10,4,40,-24,-78,0,17,-34,5,-1,9,34,6,6,30,-61,-21,-1,9,45,-9,-29,-44,-7,48,8,-22,-7,-32,-1,74,19,-67,-22,12,6,86,25,-85,-47,-45,1,-1,23,-2,5
4,18,54,-10,4,40,-24,-78,0,17,-34,5,-1,9,34,6,6,30,-61,-21,-1,9,45,-9,-29,-44,-7,48,8,-22,-7,-32,-1,74,19,-67,-22,12,6,86,25,-85,-47,-45,1,-1,23,-2,-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,5
6,30,-61,-21,-1,9,45,-9,-29,-44,-7,48,8,-22,-7,-32,-1,74,19,-67,-22,12,6,86,25,-85,-47,-45,1,-1,23,-2,-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,-23,-26,-110,13,-5,-9,25,-53,-5,-2,37,32,11,3,-33,-3,5
-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,-23,-26,-110,13,-5,-9,25,-53,-5,-2,37,32,11,3,-33,-3,36,3,-20,-5,3,12,38,46,-29,37,-23,29,-3,-21,-71,-7,-1,-64,-11,-21,-16,-26,12,-33,-17,10,-13,-93,-5,-16,3,-13,5
-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,-23,-26,-110,13,-5,-9,25,-53,-5,-2,37,32,11,3,-33,-3,36,3,-20,-5,3,12,38,46,-29,37,-23,29,-3,-21,-71,-7,-1,-64,-11,-21,-16,-26,12,-33,-17,10,-13,-93,-5,-16,3,-13,5
-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,-23,-26,-110,13,-5,-9,25,-53,-5,-2,37,32,11,3,-33,-3,36,3,-20,-5,3,12,38,46,-29,37,-23,29,-3,-21,-71,-7,-1,-64,-11,-21,-16,-26,12,-33,-17,10,-13,-93,-5,-16,3,-13,5
-20,-14,37,11,-4,-30,-52,-16,3,8,-9,-22,1,46,21,17,-23,-26,-110,13,-5,-9,25,-53,-5,-2,37,32,11,3,-33,-3,36,3,-20,-5,3,12,38,46,-29,37,-23,29,-3,-21,-71,-7,-1,-64,-11,-21,-16,-26,12,-33,-17,10,-13,-93,-5,-16,3,-13,5
-1,-64,-11,-21,-16,-26,12,-33,-17,10,-13,-93,-5,-16,3,-13,5,-6,-23,29,-3,-3,-46,-25,19,3,-46,-13,2,35,56,-4,-14,-9,39,114,11,4,-9,33,21,6,-90,-109,-12,-37,-28,31,-48,9,33,39,4,33,35,-63,21,-5,-21,-69,-13,-25,-32,2,5
-14,-9,39,114,11,4,-9,33,21,6,-90,-109,-12,-37,-28,31,-48,9,33,39,4,33,35,-63,21,-5,-21,-69,-13,-25,-32,2,3,23,18,-64,0,17,-32,7,-18,-28,1,84,1,27,47,51,5,45,67,-10,-10,-16,-37,-43,16,-12,-8,18,-6,5,-21,-45,5
-14,-9,39,114,11,4,-9,33,21,6,-90,-109,-12,-37,-28,31,-48,9,33,39,4,33,35,-63,21,-5,-21,-69,-13,-25,-32,2,3,23,18,-64,0,17,-32,7,-18,-28,1,84,1,27,47,51,5,45,67,-10,-10,-16,-37,-43,16,-12,-8,18,-6,5,-21,-45,5
-14,-9,39,114,11,4,-9,33,21,6,-90,-109,-12,-37,-28,31,-48,9,33,39,4,33,35,-63,21,-5,-21,-69,-13,-25,-32,2,3,23,18,-64,0,17,-32,7,-18,-28,1,84,1,27,47,51,5,45,67,-10,-10,-16,-37,-43,16,-12,-8,18,-6,5,-21,-45,5
0,-22,88,70,21,-7,16,22,-23,6,71,-73,-23,-14,17,-27,6,-5,8,58,8,26,35,4,-5,-36,34,-30,2,16,12,-12,-6,-2,15,41,3,-13,7,-9,-7,8,-19,-7,5,22,-28,-4,22,-29,-24,-20,-14,-11,-12,24,-15,10,-54,-63,-9,16,48,-38,5
-6,-2,15,41,3,-13,7,-9,-7,8,-19,-7,5,22,-28,-4,22,-29,-24,-20,-14,-11,-12,24,-15,10,-54,-63,-9,16,48,-38,19,37,-42,36,-2,5,24,12,-1,-4,36,54,15,-8,-10,-6,0,5,-94,-105,-30,-53,-74,-17,-2,-14,37,82,7,22,14,-5,5
-6,-2,15,41,3,-13,7,-9,-7,8,-19,-7,5,22,-28,-4,22,-29,-24,-20,-14,-11,-12,24,-15,10,-54,-63,-9,16,48,-38,19,37,-42,36,-2,5,24,12,-1,-4,36,54,15,-8,-10,-6,0,5,-94,-105,-30,-53,-74,-17,-2,-14,37,82,7,22,14,-5,5
19,37,-42,36,-2,5,24,12,-1,-4,36,54,15,-8,-10,-6,0,5,-94,-105,-30,-53,-74,-17,-2,-14,37,82,7,22,14,-5,-3,39,-16,-49,6,15,14,3,11,3,69,42,2,3,16,37,-10,-5,-28,-2,6,-9,-16,-4,10,0,-11,45,-13,-31,-86,15,5
0,5,-94,-105,-30,-53,-74,-17,-2,-14,37,82,7,22,14,-5,-3,39,-16,-49,6,15,14,3,11,3,69,42,2,3,16,37,-10,-5,-28,-2,6,-9,-16,-4,10,0,-11,45,-13,-31,-86,15,-32,10,-13,-49,-16,-1,-23,30,24,1,-15,23,12,28,47,39,5
